source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
ITTF,132244,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=132244,Tae Ryong,U,Tae Ryong U,KP,M,SENIOR,,,83,228,2026-05-12,HIGH,
ITTF,203934,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=203934,Antoine,Razafinarivo,Antoine Razafinarivo,MG,M,SENIOR,,,82,229,2026-05-12,HIGH,
ITTF,123282,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123282,Lev,Katsman,Lev Katsman,XX,M,SENIOR,,,80,230,2026-05-12,HIGH,
ITTF,124572,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=124572,Yan-Cheng,Huang,Yan-Cheng Huang,TW,M,SENIOR,,,80,231,2026-05-12,HIGH,
ITTF,115000,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115000,Brian,Afanador,Brian Afanador,PR,M,SENIOR,,,80,232,2026-05-12,HIGH,
ITTF,136359,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136359,Romain,Brard,Romain Brard,FR,M,SENIOR,,,79,233,2026-05-12,HIGH,
ITTF,113376,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=113376,Ali,Alkhadrawi,Ali Alkhadrawi,SA,M,SENIOR,,,79,234,2026-05-12,HIGH,
ITTF,137625,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=137625,Marius,Benchat,Marius Benchat,MA,M,SENIOR,,,78,235,2026-05-12,HIGH,
ITTF,222052,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=222052,Sota,Noda,Sota Noda,JP,M,SENIOR,,,77,236,2026-05-12,HIGH,
ITTF,137316,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=137316,Maheidine,Bella,Maheidine Bella,DZ,M,SENIOR,,,77,237,2026-05-12,HIGH,
ITTF,121869,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121869,Jakub,Zelinka,Jakub Zelinka,SK,M,SENIOR,,,77,238,2026-05-12,HIGH,
ITTF,121940,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121940,Navid,Shams,Navid Shams,IR,M,SENIOR,,,76,239,2026-05-12,HIGH,
ITTF,133695,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=133695,Hiromu,Kobayashi,Hiromu Kobayashi,JP,M,SENIOR,,,76,240,2026-05-12,HIGH,
ITTF,115545,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115545,Man Ho,Kwan,Man Ho Kwan,HK,M,SENIOR,,,76,241,2026-05-12,HIGH,
ITTF,201164,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=201164,Seungsoo,Lee,Seungsoo Lee,KR,M,SENIOR,,,76,242,2026-05-12,HIGH,
ITTF,100089,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=100089,Luke,Abrahams,Luke Abrahams,ZA,M,SENIOR,,,75,243,2026-05-12,HIGH,
ITTF,132366,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=132366,Fumiya,Igarashi,Fumiya Igarashi,JP,M,SENIOR,,,73,244,2026-05-12,HIGH,
ITTF,131176,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131176,Martin,Buch,Martin Buch,DK,M,SENIOR,,,72,245,2026-05-12,HIGH,
ITTF,203029,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=203029,Yang,Sun,Yang Sun,CN,M,SENIOR,,,71,246,2026-05-12,HIGH,
